product_id,product_name,brand,department,review_text,rating,recommended,customer_age,review_date,sentiment_score,sentiment_category,source_file
847,Blouses Tops,General,Tops,"If this product was in petite, i would get the petite. the regular is a little long on me but a tailor can do a simple fix on that. fits nicely! i'm 5'4, 130lb and pregnant so i bough t medium to grow into. the tie can be front or back so provides for some nice flexibility on form fitting.",4,True,33,2024-12-17,0.22,positive,kaggle_reviews
1080,Dresses Dresses,General,Dresses,"I'm upset because for the price of the dress, i thought it was embroidered! no, that is a print on the fabric. i think i cried a little when i opened the box. it is still ver pretty. i would say it is true to size, it is a tad bit big on me, but i am very tiny, but i can still get away with it. the color is vibrant. the style is unique. skirt portion is pretty poofy. i keep going back and forth on it mainly because of the price, although the quality is definitely there. except i wish it were emb",4,True,55,2024-09-07,0.12,positive,kaggle_reviews
1077,Dresses Dresses,General,Dresses,"First of all, this is not pullover styling. there is a side zipper. i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me. second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath. not at all what is looks like or is described as. sadly will be returning, but i'm sure i will find something to exchange it for!",2,False,31,2024-04-06,-0.05,neutral,kaggle_reviews
1077,Dresses Dresses,General,Dresses,"Cute little dress fits tts. it is a little high waisted. good length for my 5'9 height. i like the dress, i'm just not in love with it. i dont think it looks or feels cheap. it appears just as pictured.",3,True,34,2024-01-03,0.27,positive,kaggle_reviews
847,Blouses Tops,General,Tops,"I love this shirt because when i first saw it, i wasn't sure if it was a shirt or dress. since it is see-through if you wear it like a dress you will need a slip or wear it with leggings. i bought a slip, wore the tie in the back, and rocked it with white wedges. you could also wear it as a vest. be careful with the buttons. i haven't had any fall off yet, but i feel like they will. overall it's great for any occasion and it's fun to wear!",5,True,55,2024-03-08,0.26,positive,kaggle_reviews
697,Lounge Intimate,Initmates,Intimate,"Loved the material, but i didnt really look at how long the dress was before i purchased both a large and a medium. im 5'5"" and there was atleast 5"" of material at my feet. the gaps in the front are much wider than they look. felt like the dress just fell flat. both were returned. im usually a large and the med fit better. 36d 30 in jeans",3,False,31,2024-02-16,0.26,positive,kaggle_reviews
949,Sweaters Tops,General,Tops,I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,2,False,33,2024-12-25,0.1,neutral,kaggle_reviews
1003,Skirts Bottoms,General,Bottoms,"The colors weren't what i expected either. the dark blue is much more vibrant and i just couldn't find anything to really go with it. fabric is thick and good quality. has nice weight and movement to it. the skirt just wasn't for me, in the end.",4,True,31,2024-04-26,0.18,positive,kaggle_reviews
684,Lounge Intimate,Initmates,Intimate,I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....,5,True,53,2024-04-22,0.0,neutral,kaggle_reviews
4,Sweaters Tops,General,Tops,"This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. it is a bit cropped and boxy as part of the style, and as others mentioned, there are gaps in the knit that make it see-through. in my opinion this makes it perfect for layering! i like having a longer camisole showing underneath, or wearing it over a little dress. it's warm but still thin enough to fit under a jacket or coat.",5,True,28,2024-12-29,0.28,positive,kaggle_reviews
