product_id,product_name,brand,department,review_text,rating,recommended,customer_age,review_date,sentiment_score,sentiment_category,source_file
1077,Dresses Dresses,General,Dresses,Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric. pretty disappointed as it was going to be my christmas dress this year! needless to say it will be going back.,3,False,53,2024-12-19,-0.1,neutral,kaggle_reviews
1095,Dresses Dresses,General Petite,Dresses,This dress is perfection! so pretty and flattering.,5,True,39,2024-02-13,0.25,positive,kaggle_reviews
1095,Dresses Dresses,General Petite,Dresses,"More and more i find myself reliant on the reviews written by savvy shoppers before me and for the most past, they are right on in their estimation of the product. in the case of this dress-if it had not been for the reveiws-i doubt i would have even tried this. the dress is beautifully made, lined and reminiscent of the old retailer quality. it is lined in the solid periwinkle-colored fabric that matches the outer fabric print. tts and very form-fitting. falls just above the knee and does not rid",5,True,53,2024-08-09,0.24,positive,kaggle_reviews
767,Intimates Intimate,Initmates,Intimate,"Bought the black xs to go under the larkspur midi dress because they didn't bother lining the skirt portion (grrrrrrrrrrr). my stats are 34a-28/29-36 and the xs fit very smoothly around the chest and was flowy around my lower half, so i would say it's running big. the straps are very pretty and it could easily be nightwear too. i'm 5'6"" and it came to just below my knees.",5,True,44,2024-05-20,0.19,positive,kaggle_reviews
1077,Dresses Dresses,General,Dresses,This is a nice choice for holiday gatherings. i like that the length grazes the knee so it is conservative enough for office related gatherings. the size small fit me well - i am usually a size 2/4 with a small bust. in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big). the problem with this dress is the quality. the fabrics are terrible. the delicate netting type fabric on the top layer of skirt got stuck in the zip,3,True,50,2024-10-27,-0.06,neutral,kaggle_reviews
1065,Pants Bottoms,General,Bottoms,"I took these out of the package and wanted them to fit so badly, but i could tell before i put them on that they wouldn't. these are for an hour-glass figure. i am more straight up and down. the waist was way too small for my body shape and even if i sized up, i could tell they would still be tight in the waist and too roomy in the hips - for me. that said, they are really nice. sturdy, linen-like fabric, pretty color, well made. i hope they make someone very happy!",4,True,47,2024-12-12,0.17,positive,kaggle_reviews
1065,Pants Bottoms,General,Bottoms,"Material and color is nice. the leg opening is very large. i am 5'1 (100#) and the length hits me right above my ankle. with a leg opening the size of my waist and hem line above my ankle, and front pleats to make me fluffy, i think you can imagine that it is not a flattering look. if you are at least average height or taller, this may look good on you.",3,True,34,2024-07-28,0.13,positive,kaggle_reviews
853,Blouses Tops,General,Tops,Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great. drape is perfect. wear tucked in or out - can't go wrong.,5,True,41,2024-10-24,0.23,positive,kaggle_reviews
1120,Outerwear Jackets,General,Jackets,"A flattering, super cozy coat. will work well for cold, dry days and will look good with jeans or a dressier outfit. i am 5' 5'', about 135 and the small fits great.",5,True,32,2024-06-10,0.1,neutral,kaggle_reviews
1077,Dresses Dresses,General,Dresses,"I love the look and feel of this tulle dress. i was looking for something different, but not over the top for new year's eve. i'm small chested and the top of this dress is form fitting for a flattering look. once i steamed the tulle, it was perfect! i ordered an xsp. length was perfect too.",5,True,47,2024-06-28,0.43,positive,kaggle_reviews
