product_id,product_name,brand,category,base_price,discount_percent,final_price,quantity_sold,revenue,season,sale_year,sale_month,is_promotional_period,source_file
10100,Blouse,Zara,Men's Fashion,53.0,22.81751736529199,40.90671579639524,1,40.90671579639524,Winter,2024,1,True,kaggle_shopping
10201,Sweater,Gap,Men's Fashion,64.0,16.04106719259336,53.73371699674025,1,53.73371699674025,Winter,2024,1,True,kaggle_shopping
10302,Jeans,Uniqlo,Men's Fashion,73.0,27.95105590231008,52.59572919131364,1,52.59572919131364,Spring,2024,5,True,kaggle_shopping
10403,Sandals,Puma,Footwear,90.0,22.39665796397554,69.84300783242202,1,69.84300783242202,Spring,2024,5,True,kaggle_shopping
10504,Blouse,Uniqlo,Men's Fashion,49.0,27.58523448117431,35.48323510422458,1,35.48323510422458,Spring,2024,5,True,kaggle_shopping
10605,Sneakers,Adidas,Footwear,20.0,15.877994392179104,16.82440112156418,1,16.82440112156418,Summer,2024,6,True,kaggle_shopping
10706,Shirt,Gap,Men's Fashion,85.0,26.119635764533093,62.79830960014687,1,62.79830960014687,Fall,2024,9,True,kaggle_shopping
10807,Shorts,Uniqlo,Men's Fashion,34.0,19.47998846818681,27.37680392081648,1,27.37680392081648,Winter,2024,1,True,kaggle_shopping
10908,Coat,Canada Goose,Women's Fashion,97.0,20.08597622357751,77.51660306312982,1,77.51660306312982,Summer,2024,6,True,kaggle_shopping
11009,Handbag,Coach,Accessories,31.0,17.898820141918144,25.451365756005373,1,25.451365756005373,Spring,2024,5,True,kaggle_shopping
11110,Shoes,Adidas,Footwear,34.0,16.321533869945473,28.45067848421854,1,28.45067848421854,Fall,2024,9,True,kaggle_shopping
11211,Shorts,Uniqlo,Men's Fashion,68.0,24.820076104568287,51.122348248893566,1,51.122348248893566,Winter,2024,1,True,kaggle_shopping
11312,Coat,Canada Goose,Women's Fashion,72.0,18.67695270765704,58.55259405048693,1,58.55259405048693,Winter,2024,1,True,kaggle_shopping
11413,Dress,Forever 21,Men's Fashion,51.0,26.80664219902851,37.32861247849546,1,37.32861247849546,Spring,2024,5,True,kaggle_shopping
11514,Coat,Canada Goose,Women's Fashion,53.0,15.94286138476804,44.55028346607294,1,44.55028346607294,Winter,2024,1,True,kaggle_shopping
11615,Skirt,Zara,Men's Fashion,81.0,23.02514799558567,62.34963012357561,1,62.34963012357561,Winter,2024,1,True,kaggle_shopping
11716,Sunglasses,Coach,Accessories,36.0,18.52073482269429,29.332535463830055,1,29.332535463830055,Spring,2024,5,True,kaggle_shopping
11817,Dress,Zara,Men's Fashion,38.0,24.66470437487859,28.627412337546136,1,28.627412337546136,Winter,2024,1,True,kaggle_shopping
11918,Sweater,Zara,Men's Fashion,48.0,22.062926003503247,37.40979551831844,1,37.40979551831844,Summer,2024,6,True,kaggle_shopping
12019,Pants,Forever 21,Men's Fashion,90.0,20.700753740244984,71.36932163377952,1,71.36932163377952,Summer,2024,6,True,kaggle_shopping
12120,Pants,Uniqlo,Men's Fashion,51.0,17.815711671844614,41.91398704735925,1,41.91398704735925,Winter,2024,1,True,kaggle_shopping
12221,Pants,Uniqlo,Men's Fashion,62.0,21.934716030657455,48.40047606099238,1,48.40047606099238,Winter,2024,1,True,kaggle_shopping
12322,Pants,H&M,Men's Fashion,37.0,16.75050228113998,30.80231415597821,1,30.80231415597821,Summer,2024,6,True,kaggle_shopping
12423,Pants,Zara,Men's Fashion,88.0,18.460006346683606,71.75519441491842,1,71.75519441491842,Winter,2024,1,True,kaggle_shopping
12524,Jacket,Columbia,Women's Fashion,22.0,17.466793797682534,18.157305364509842,1,18.157305364509842,Fall,2024,9,True,kaggle_shopping
12625,Hoodie,Forever 21,Men's Fashion,25.0,16.934443592362996,20.76638910190925,1,20.76638910190925,Summer,2024,6,True,kaggle_shopping
12726,Jewelry,Michael Kors,Accessories,20.0,16.76848865997609,16.64630226800478,1,16.64630226800478,Spring,2024,5,True,kaggle_shopping
12827,Shorts,Uniqlo,Men's Fashion,56.0,18.473955748237245,45.65458478098714,1,45.65458478098714,Summer,2024,6,True,kaggle_shopping
12928,Handbag,Fossil,Accessories,94.0,16.95380890113846,78.06341963292985,1,78.06341963292985,Fall,2024,9,True,kaggle_shopping
13029,Dress,Zara,Men's Fashion,48.0,19.77779918043239,38.506656393392454,1,38.506656393392454,Fall,2024,9,True,kaggle_shopping
13130,Jewelry,Coach,Accessories,31.0,15.495213432149376,26.196483836033693,1,26.196483836033693,Winter,2024,1,True,kaggle_shopping
13231,Dress,Forever 21,Men's Fashion,79.0,20.813581745751275,62.55727042085649,1,62.55727042085649,Winter,2024,1,True,kaggle_shopping
13332,Jacket,Patagonia,Women's Fashion,67.0,20.796085283594394,53.06662285999176,1,53.06662285999176,Summer,2024,6,True,kaggle_shopping
13433,Pants,Zara,Men's Fashion,38.0,24.8236675968804,28.567006313185445,1,28.567006313185445,Summer,2024,6,True,kaggle_shopping
13534,T-shirt,H&M,Men's Fashion,91.0,22.949132680025105,70.11628926117716,1,70.11628926117716,Spring,2024,5,True,kaggle_shopping
13635,Blouse,Gap,Men's Fashion,33.0,19.962586783920244,26.41234636130632,1,26.41234636130632,Summer,2024,6,True,kaggle_shopping
